id,name,birthdate,gender,race,net_income,region,average_grades,num_bathrooms,distance_from_school,dropout
40,Carla Pereira,2009-02-20,Male,Brown,1580.77,West,5.91,1,13.02,1
41,Camila Oliveira,2003-06-22,Female,White,2026.16,West,7.62,1,2.92,1
42,João Costa,2007-02-17,Male,White,1796.5,West,4.42,1,7.71,1
43,Maria Silva,2004-02-01,Male,White,1850.23,North,7.06,1,1.54,0
44,Lucas Oliveira,2007-09-26,Male,Brown,2392.83,South,0.91,1,12.44,1
45,José Martins,2006-06-19,Male,White,2975.38,East,7.5,1,4.95,0
46,Pedro Ferreira,2008-05-26,Female,White,-139.47,South,4.66,1,8.28,1
47,Lucas Souza,2003-07-25,Female,Brown,529.23,South,5.36,2,0.26,1
48,Clara Ribeiro,2001-05-19,Female,White,3079.43,Center,3.58,1,1.63,1
49,Pedro Pereira,2000-04-02,Female,White,2678.26,West,2.59,2,12.82,0
50,João Ferreira,2004-01-17,Female,Indigenous,4117.96,North,2.32,2,11.57,1
51,Carla Santos,2006-10-21,Female,Brown,4802.96,East,6.95,2,2.04,0
52,Camila Ribeiro,2003-07-20,Male,White,2463.28,Center,9.96,2,2.72,0
53,Clara Pereira,2000-11-01,Male,White,3098.5,Center,6.23,1,3.39,1
54,Paulo Ribeiro,2009-12-25,Male,White,5421.41,South,0.9,1,3.16,0
55,Pedro Ribeiro,2006-10-14,Female,Brown,3487.15,East,9.58,2,10.23,1
56,Carla Costa,2002-07-16,Female,Brown,3796.14,North,9.84,2,2.15,1
57,José Martins,2003-04-09,Female,White,3161.56,South,1.68,2,5.93,1
58,Carla Ribeiro,2004-04-20,Female,Brown,1526.87,East,5.79,1,6.5,1
59,José Oliveira,2005-12-06,Female,White,4928.18,South,3.36,1,4.02,1
60,João Santos,2001-12-18,Female,Brown,2745.25,South,5.85,1,9.33,0
61,Pedro Oliveira,2005-07-19,Male,White,2225.85,Center,1.4,1,2.89,0
62,José Oliveira,2000-02-06,Female,Brown,797.34,South,3.15,3,10.36,1
63,Carla Pereira,2005-01-08,Male,Brown,2480.92,North,0.17,1,4.01,1
64,Pedro Ferreira,2002-02-22,Female,Brown,630.43,East,4.0,1,7.07,1
65,Ana Ribeiro,2007-02-11,Male,Brown,3458.94,East,0.1,1,14.61,0
66,Carla Ribeiro,2008-08-13,Male,White,3824.11,Center,0.76,1,14.57,1
67,Maria Silva,2000-04-11,Female,Brown,4085.17,East,6.41,2,11.73,0
68,Lucas Oliveira,2006-10-28,Male,White,2801.64,South,3.59,3,0.43,0
69,Maria Santos,2006-12-14,Male,White,2408.35,North,6.33,1,7.63,0
70,Maria Lima,2002-10-11,Female,White,3248.59,South,4.54,2,8.73,0
71,João Oliveira,2002-12-11,Male,White,89.89,South,9.3,1,10.23,1
72,Paulo Silva,2003-06-12,Male,Brown,1735.93,South,9.77,1,7.14,0
73,João Oliveira,2005-07-10,Male,White,4334.63,East,2.25,1,6.65,1
74,Paulo Martins,2002-08-25,Male,Brown,2528.65,East,8.94,1,5.69,0
75,Ana Martins,2002-08-12,Male,White,2817.57,North,4.75,2,4.88,0
76,Clara Martins,2003-02-03,Male,Brown,-18.28,North,0.81,1,11.31,1
77,João Ribeiro,2004-06-08,Female,White,3310.31,South,8.88,1,0.7,1
78,Camila Silva,2003-12-16,Female,Brown,1898.08,Center,5.06,1,7.54,0
79,Paulo Lima,2005-02-11,Male,Brown,-62.94,North,9.9,2,9.39,0
80,Camila Silva,2007-02-15,Female,White,443.82,Center,3.86,1,14.65,1
81,Pedro Ribeiro,2007-01-22,Male,White,1389.46,West,5.47,2,3.05,1
82,João Silva,2008-09-04,Female,White,3437.26,North,4.54,1,1.78,1
83,João Santos,2002-07-06,Female,White,2528.48,North,4.48,1,14.92,1
84,Ana Silva,2001-04-21,Male,White,2423.33,Center,3.92,1,14.2,1
85,João Silva,2008-10-18,Female,White,2379.43,Center,9.14,2,6.13,0
86,José Souza,2008-11-18,Female,White,2438.32,West,0.24,3,5.08,0
87,José Souza,2001-04-26,Female,White,1636.11,East,3.44,1,6.24,0
88,Paulo Lima,2003-09-04,Male,White,-406.86,East,0.07,1,13.38,1
89,Lucas Silva,2007-08-12,Female,White,1604.14,South,4.54,1,14.75,1
90,Carla Costa,2002-02-28,Male,Brown,1467.05,West,3.13,1,0.25,1
91,Lucas Ferreira,2008-09-15,Female,Brown,3846.57,North,6.94,1,4.55,0
92,Lucas Pereira,2005-08-24,Male,White,2345.69,South,8.81,1,2.29,1
93,Carla Lima,2000-12-28,Male,White,1396.52,West,9.01,2,9.9,1
94,Maria Martins,2001-07-18,Female,Brown,-147.28,West,6.24,2,12.57,1
95,Maria Ferreira,2003-07-09,Male,Black,1657.86,West,6.8,3,4.75,1
96,Lucas Silva,2003-04-20,Female,Brown,2264.73,East,0.15,1,3.52,1
97,Maria Silva,2009-10-02,Female,White,1462.76,West,6.47,2,1.95,0
98,Camila Lima,2009-11-18,Female,White,1831.63,West,4.74,1,8.06,1
99,Paulo Pereira,2001-06-15,Male,Brown,3429.78,Center,2.46,1,10.37,0
100,Maria Martins,2006-08-11,Female,White,4715.53,West,2.79,1,13.97,1
101,Ana Oliveira,2009-05-14,Female,White,516.52,South,5.75,3,3.23,0
102,Camila Souza,2004-06-23,Male,White,1990.05,West,4.25,1,0.61,1
103,João Ferreira,2003-03-08,Female,Brown,2502.33,South,9.49,2,4.47,0
104,Pedro Ribeiro,2003-10-26,Female,White,3249.49,East,4.38,3,7.91,0
105,Camila Ribeiro,2009-06-12,Male,Brown,3184.14,Center,1.46,1,7.07,1
106,Paulo Silva,2008-04-21,Male,White,1491.4,South,3.19,2,10.56,0
107,Maria Oliveira,2002-07-01,Male,Brown,-420.65,Center,4.97,2,4.35,1
108,João Ribeiro,2002-01-08,Female,White,550.78,South,4.04,2,6.62,0
109,Lucas Martins,2007-10-04,Female,White,2280.33,Center,8.13,2,10.02,1
110,Camila Souza,2006-12-10,Female,Brown,2542.91,East,6.38,1,12.88,1
111,Maria Ribeiro,2006-03-18,Male,Brown,5060.94,West,9.84,1,5.35,0
112,Pedro Lima,2004-12-08,Female,White,3343.38,Center,4.96,1,7.97,1
113,Lucas Costa,2004-09-28,Female,White,2067.23,South,9.78,2,0.95,0
114,Paulo Ribeiro,2003-07-07,Male,White,5702.31,East,1.5,3,10.21,1
115,Maria Santos,2000-04-20,Male,White,4425.91,North,8.74,2,4.11,1
116,Carla Oliveira,2001-09-24,Male,Brown,4332.86,North,0.84,2,7.92,0
117,Clara Ferreira,2007-01-03,Female,White,2010.16,East,6.78,1,14.51,1
118,Camila Oliveira,2008-12-03,Male,Brown,2559.09,West,2.7,1,9.02,1
119,Lucas Lima,2003-12-11,Female,Brown,2767.35,East,5.55,1,14.1,1
120,Ana Silva,2009-09-24,Male,White,691.0,Center,4.96,2,11.22,1
121,Paulo Oliveira,2007-05-19,Male,White,-261.55,West,6.62,2,7.3,0
122,Camila Silva,2003-10-09,Male,Brown,3344.4,East,4.79,1,9.69,1
123,João Pereira,2003-05-28,Female,Black,-383.84,East,8.57,1,10.4,1
124,Pedro Oliveira,2004-03-17,Male,White,2927.96,Center,0.5,1,12.39,0
125,Camila Costa,2004-03-04,Male,Brown,2369.2,West,8.26,1,2.01,0
126,Camila Ferreira,2000-02-13,Female,White,-114.14,South,7.46,2,10.47,0
127,João Ferreira,2003-01-08,Male,Brown,1868.9,South,1.86,3,2.31,0
128,Camila Santos,2009-07-02,Female,Brown,1988.77,South,2.5,2,5.3,1
129,Clara Ribeiro,2008-04-02,Male,Brown,3150.64,North,5.39,1,1.39,1
130,Camila Costa,2006-10-10,Male,White,4629.72,East,6.89,3,5.52,0
131,João Lima,2003-10-05,Female,White,2754.83,East,8.5,2,4.32,1
132,Pedro Santos,2004-01-04,Male,Brown,1287.04,Center,9.87,1,10.24,1
133,João Ribeiro,2003-07-14,Male,Brown,2304.5,East,0.89,1,6.17,0
134,José Martins,2000-03-03,Male,Brown,1650.3,West,2.71,1,0.74,0
135,Camila Oliveira,2006-10-22,Male,Brown,363.78,West,5.06,1,6.28,0
136,Pedro Souza,2002-05-07,Male,Brown,3001.4,South,1.9,1,3.93,1
137,Clara Silva,2003-04-20,Female,Brown,2483.53,West,4.8,1,12.41,1
138,Paulo Ribeiro,2003-05-14,Female,White,865.05,South,6.94,1,8.07,1
139,Clara Lima,2009-08-28,Male,White,4172.81,East,8.3,1,13.93,1
140,Camila Costa,2007-12-23,Female,White,3231.05,South,3.23,1,3.58,1
141,Lucas Silva,2007-08-19,Female,White,4257.07,North,5.16,2,1.32,0
142,João Lima,2005-08-02,Female,Brown,3777.13,North,8.4,1,0.58,0
143,Clara Pereira,2007-12-05,Female,Black,1639.62,Center,3.1,1,5.36,1
144,Paulo Martins,2008-02-24,Female,White,3597.3,West,5.44,1,13.3,1
145,Paulo Silva,2002-06-09,Male,White,-1656.46,Center,5.66,1,3.15,0
146,José Souza,2009-05-20,Male,Brown,1980.14,East,1.27,2,12.45,1
147,Maria Souza,2008-06-20,Male,White,52.51,West,7.23,1,4.46,1
148,Carla Martins,2004-03-08,Male,White,1022.13,South,4.2,3,4.12,0
149,José Pereira,2008-06-14,Female,Brown,6093.35,East,1.47,1,5.61,1
150,Pedro Ferreira,2002-05-20,Male,Brown,3358.93,Center,7.63,3,6.81,1
151,José Martins,2004-11-05,Female,White,647.5,North,9.51,2,10.16,1
152,Camila Ferreira,2006-01-22,Female,White,2335.96,South,2.47,1,13.69,1
153,Maria Ribeiro,2001-09-15,Male,White,444.48,West,7.79,3,6.67,0
154,Paulo Lima,2006-03-12,Female,White,1188.06,East,9.25,2,3.72,1
155,Maria Silva,2005-11-26,Male,Brown,3192.79,West,1.22,1,2.37,0
156,Ana Ribeiro,2002-11-23,Male,Brown,1497.04,West,0.52,1,13.14,1
157,Camila Ferreira,2007-08-13,Male,White,2483.39,South,7.9,1,1.51,1
158,Maria Martins,2004-02-04,Male,White,1445.65,East,7.3,3,7.53,1
159,José Ferreira,2000-08-14,Male,White,2314.18,North,8.99,1,7.99,0
160,João Souza,2005-05-13,Male,White,2547.54,East,2.41,1,0.12,1
161,Carla Lima,2009-03-05,Female,White,3323.72,East,2.1,1,5.85,1
162,João Pereira,2007-03-24,Female,Brown,974.17,North,6.1,1,14.52,1
163,Ana Oliveira,2001-08-16,Male,Brown,3651.85,Center,8.94,2,7.29,0
164,Clara Martins,2009-03-11,Female,White,3405.48,Center,0.17,2,3.65,0
165,Ana Souza,2003-02-15,Female,White,1418.01,North,3.08,1,11.52,1
166,Clara Martins,2002-11-07,Female,Black,594.16,North,9.1,3,14.69,0
167,João Costa,2009-01-02,Male,Brown,1653.62,South,5.03,3,4.69,0
168,Paulo Ribeiro,2009-12-28,Female,Brown,4249.4,North,1.08,2,4.78,1
169,Lucas Santos,2005-02-28,Male,Brown,2901.44,Center,5.93,1,2.64,1
170,Lucas Santos,2002-06-14,Female,Brown,1196.94,South,5.33,1,6.17,0
171,Carla Souza,2009-04-15,Female,White,890.9,North,9.82,2,1.03,0
172,Lucas Ribeiro,2009-04-12,Female,Brown,1467.44,Center,4.31,3,0.98,1
173,João Martins,2004-08-01,Male,White,4153.62,West,6.67,1,11.27,0
174,Pedro Costa,2008-03-28,Female,White,913.08,Center,4.47,2,8.44,1
175,Pedro Pereira,2003-06-08,Female,Brown,1520.92,West,3.57,1,0.65,0
176,Ana Pereira,2000-11-24,Male,Black,1860.91,North,4.75,1,9.28,1
177,Pedro Silva,2004-02-13,Male,Brown,1110.55,West,4.53,2,4.21,1
178,José Santos,2009-10-16,Male,Brown,1080.87,South,6.31,2,3.84,1
179,Maria Souza,2005-08-07,Male,White,5009.32,East,4.74,2,4.05,0
180,Clara Costa,2002-02-13,Female,White,4811.69,South,0.12,2,4.39,1
181,Clara Souza,2009-08-04,Female,White,2862.56,East,1.11,3,6.95,1
182,João Martins,2008-07-10,Female,White,1819.14,South,3.19,2,12.02,1
183,Camila Souza,2000-06-02,Female,Brown,2031.84,South,9.13,1,4.72,0
184,Lucas Silva,2007-05-05,Male,Brown,2409.54,West,8.18,1,11.94,0
185,João Santos,2003-09-11,Male,White,3283.54,East,6.51,3,2.47,0
186,João Costa,2009-07-18,Female,White,4799.84,North,3.85,1,0.97,1
187,Ana Silva,2002-11-22,Male,Black,-235.23,North,7.3,1,1.36,1
188,Paulo Ferreira,2003-09-10,Male,Brown,5485.87,South,9.63,1,5.84,0
189,Ana Lima,2004-12-14,Female,White,3543.68,East,2.93,2,2.97,1
190,Maria Lima,2009-05-02,Female,Brown,501.99,Center,0.93,1,0.84,1
191,Lucas Ferreira,2000-05-08,Male,Brown,1893.91,Center,0.35,1,2.39,1
192,Clara Oliveira,2009-09-20,Female,Brown,3606.08,West,1.27,1,12.11,1
193,Maria Costa,2006-08-25,Male,Brown,1697.05,West,5.65,1,13.47,0
194,João Oliveira,2008-06-08,Female,Brown,1512.81,Center,0.85,1,0.94,1
195,Lucas Martins,2007-01-10,Female,White,1787.98,East,0.04,2,2.03,1
196,Pedro Santos,2000-06-03,Female,Brown,1252.01,Center,0.99,1,10.2,1
197,Carla Costa,2008-06-03,Female,Brown,5593.2,North,0.55,2,9.23,1
198,Ana Silva,2004-10-26,Male,White,1481.9,North,2.88,1,4.84,1
199,Paulo Ribeiro,2006-05-06,Female,Brown,1821.22,North,3.29,1,6.68,0
200,Carla Martins,2004-10-18,Male,White,3264.97,North,5.68,1,9.91,0
201,Ana Oliveira,2005-01-18,Male,Brown,3027.98,West,2.8,2,14.08,0
202,João Lima,2002-04-11,Female,Brown,1970.7,South,5.64,1,7.81,0
203,Maria Ferreira,2006-03-18,Female,Brown,2903.39,North,5.8,2,8.65,0
204,Pedro Silva,2006-03-20,Female,White,3914.96,East,6.13,3,8.81,1
205,Ana Costa,2000-09-04,Male,White,1037.63,West,8.56,2,13.56,0
206,Ana Santos,2009-07-06,Female,Brown,3237.06,West,0.82,1,8.86,0
207,José Silva,2001-08-04,Male,White,7243.54,North,6.84,1,10.57,1
208,Pedro Santos,2003-08-14,Male,White,3567.6,South,3.19,1,14.88,1
209,Camila Lima,2008-04-05,Male,White,2669.22,Center,6.37,1,4.65,0
210,José Pereira,2000-06-22,Female,White,2676.25,North,3.52,1,1.18,0
211,José Santos,2006-02-11,Female,Brown,648.53,Center,0.17,3,5.41,0
212,João Ferreira,2005-06-17,Male,Brown,3492.57,West,7.34,2,14.91,0
213,Carla Santos,2003-04-15,Female,Brown,5584.48,South,1.15,2,2.39,1
214,Carla Souza,2007-04-19,Female,Brown,4730.76,South,6.74,2,3.75,0
215,João Martins,2005-06-24,Male,White,2210.67,West,5.86,1,5.13,0
216,Clara Martins,2002-05-13,Male,White,3926.94,West,2.48,2,12.0,1
217,Pedro Silva,2009-02-21,Female,Brown,2460.12,South,7.9,3,14.55,1
218,João Santos,2008-12-07,Male,White,1668.4,Center,9.16,3,0.67,0
219,Lucas Ribeiro,2006-01-17,Female,Brown,1858.33,Center,3.22,1,13.21,1
220,João Lima,2002-08-27,Female,White,-351.69,North,3.34,2,10.94,1
221,José Oliveira,2009-11-02,Male,Black,1480.94,East,1.49,1,3.3,1
222,Clara Santos,2006-06-09,Female,Brown,4805.13,South,8.32,1,1.35,0
223,João Souza,2009-06-02,Male,White,1950.8,West,9.95,1,2.57,0
224,Lucas Martins,2006-02-12,Female,Brown,668.92,South,8.81,1,1.2,0
225,Paulo Souza,2003-07-22,Female,White,1064.19,West,2.4,1,2.91,1
226,José Martins,2000-12-06,Male,Black,1840.37,West,3.44,1,2.13,1
227,João Souza,2000-05-23,Female,White,1400.17,Center,5.96,1,12.38,1
228,Clara Santos,2000-08-27,Female,White,1185.71,South,6.05,3,2.12,1
229,Clara Martins,2007-03-04,Male,Brown,2883.18,South,0.71,1,9.8,1
230,Carla Santos,2006-11-19,Male,White,1962.31,South,3.35,1,5.62,1
231,João Ferreira,2002-11-27,Male,Brown,744.92,South,0.49,2,1.45,1
232,Lucas Pereira,2007-04-06,Female,White,2703.24,Center,2.28,1,1.4,1
233,José Lima,2003-03-14,Female,White,4028.15,East,4.08,1,1.81,0
234,Carla Pereira,2002-07-12,Female,White,2268.08,East,6.95,1,10.9,1
235,Clara Ferreira,2008-03-22,Male,Brown,1349.16,Center,1.16,1,10.05,1
236,Pedro Pereira,2005-05-01,Female,White,3238.72,South,6.45,1,0.12,0
237,Clara Souza,2004-06-26,Female,Brown,4649.44,Center,3.77,1,11.53,1
238,Lucas Pereira,2007-09-11,Female,Brown,4320.67,South,9.11,3,14.15,1
239,Maria Costa,2002-11-13,Female,White,1982.78,North,8.36,2,5.87,1
240,Pedro Ribeiro,2007-04-23,Male,White,3734.16,East,2.91,2,9.95,0
241,João Ferreira,2002-06-10,Male,White,4073.07,East,1.18,1,3.26,1
242,Maria Souza,2000-03-21,Male,Brown,2594.25,Center,8.95,1,3.58,0
243,Carla Costa,2003-11-10,Female,Brown,1993.77,East,7.24,1,10.25,1
244,José Ferreira,2002-03-08,Male,Brown,-212.41,Center,0.22,3,7.53,1
245,Paulo Souza,2005-09-05,Female,White,5503.23,West,7.33,3,13.63,0
246,Ana Costa,2006-05-04,Female,White,1939.17,West,0.44,1,12.14,1
247,Ana Santos,2009-02-22,Female,Brown,3417.26,North,7.09,1,7.68,0
248,Ana Lima,2003-01-18,Male,White,3159.29,East,4.65,1,9.46,1
249,João Lima,2009-11-04,Female,White,2165.36,North,7.49,1,13.17,0
250,Pedro Costa,2000-04-24,Male,White,-1359.58,North,6.17,1,3.31,1
251,Maria Lima,2000-08-22,Female,White,1522.37,South,4.73,1,0.3,1
252,José Pereira,2001-07-01,Female,Brown,1388.45,Center,2.89,2,13.54,1
253,José Pereira,2008-02-22,Male,Brown,2300.68,South,6.73,1,8.51,1
254,Carla Oliveira,2001-07-16,Male,Black,585.17,Center,0.36,1,11.3,1
255,Lucas Oliveira,2000-07-01,Male,White,1778.49,South,4.22,1,9.69,1
256,Camila Oliveira,2006-05-15,Male,White,4456.7,East,6.66,3,2.99,1
257,Maria Lima,2001-06-19,Male,White,4817.8,East,0.9,2,11.25,0
258,Maria Santos,2000-02-03,Female,White,3593.8,South,7.12,1,3.02,0
259,Pedro Costa,2000-03-01,Male,Brown,2594.53,West,0.04,3,10.74,1
260,Pedro Martins,2000-12-19,Female,Brown,674.4,Center,9.81,1,6.23,1
261,José Silva,2009-10-08,Female,Black,2036.86,West,9.5,3,2.04,0
262,Ana Oliveira,2005-07-09,Male,Brown,31.31,South,1.87,2,11.69,1
263,Clara Pereira,2004-09-27,Male,White,3056.07,East,1.43,2,13.82,1
264,Clara Oliveira,2005-02-13,Male,Brown,2099.93,Center,6.16,1,9.84,1
265,Clara Ribeiro,2005-02-08,Female,Brown,4579.11,East,1.93,1,9.95,1
266,Maria Oliveira,2004-09-07,Male,White,3749.15,East,2.34,1,8.94,0
267,Pedro Souza,2002-03-10,Male,White,1909.87,West,4.33,1,12.51,1
268,Clara Costa,2008-11-27,Male,Brown,912.57,North,8.6,2,2.17,1
269,Pedro Souza,2009-03-07,Male,Brown,79.67,South,5.45,2,10.7,0
270,Clara Ribeiro,2003-03-28,Male,White,4173.62,North,6.57,1,12.59,0
271,Carla Pereira,2007-11-19,Male,White,-1876.42,Center,3.84,1,13.67,1
272,Lucas Oliveira,2004-01-11,Female,White,2404.06,West,7.87,1,6.8,0
273,Lucas Lima,2007-10-23,Male,White,3407.33,North,5.92,1,10.57,0
274,Maria Pereira,2008-10-08,Male,Brown,4243.6,North,6.0,1,3.69,0
275,José Martins,2005-11-21,Male,Brown,1330.23,North,8.9,3,3.28,0
276,Ana Oliveira,2001-06-18,Female,White,4641.0,South,6.0,1,9.27,0
277,Camila Ribeiro,2008-01-03,Male,White,1804.56,Center,9.04,3,4.25,0
278,Clara Ribeiro,2000-02-04,Female,Brown,2885.7,North,2.03,1,0.54,1
279,Paulo Ferreira,2003-08-04,Female,White,2549.74,North,9.62,1,4.17,0
280,Carla Souza,2007-06-27,Male,White,1592.17,Center,2.92,1,2.43,0
281,João Silva,2009-01-07,Female,White,6113.62,North,7.82,2,13.5,0
282,Clara Costa,2005-12-25,Female,Brown,648.45,South,5.53,3,6.58,0
283,Clara Souza,2002-04-08,Female,White,1389.64,North,2.93,1,14.88,1
284,Maria Martins,2008-06-06,Female,White,828.1,West,6.94,1,6.02,0
285,Pedro Lima,2000-10-10,Female,White,720.49,South,9.42,1,6.57,0
286,Paulo Souza,2008-08-28,Female,Brown,2664.31,South,5.14,2,3.38,0
287,Maria Santos,2001-12-18,Female,White,3660.28,East,3.77,1,6.63,1
288,Camila Santos,2005-03-26,Male,Brown,4301.04,Center,2.03,1,3.99,1
289,Paulo Ferreira,2003-02-16,Female,Brown,2822.86,North,5.05,3,7.02,0
290,Maria Ferreira,2003-10-19,Male,White,507.7,North,0.81,1,1.1,0
291,João Costa,2006-12-10,Female,White,981.3,East,7.8,2,9.34,0
292,Pedro Souza,2007-03-08,Female,White,3717.38,East,3.42,2,12.18,1
293,Clara Silva,2000-09-27,Male,Brown,3852.86,North,0.85,1,3.96,0
294,Paulo Pereira,2005-05-07,Female,White,2192.45,Center,9.93,3,10.33,0
295,Maria Souza,2005-01-26,Female,Brown,1709.15,North,8.22,1,1.8,0
296,João Silva,2007-02-04,Female,Black,3502.25,Center,6.85,1,0.18,0
297,Ana Ribeiro,2008-01-17,Female,Brown,4654.24,Center,0.32,1,4.63,0
298,Lucas Martins,2001-06-28,Male,Black,3929.13,East,6.15,1,2.8,0
299,João Pereira,2007-06-07,Male,Brown,219.98,South,9.2,1,8.32,1
300,Ana Martins,2003-06-17,Male,White,2791.79,West,6.05,2,4.14,0
301,Clara Ribeiro,2005-06-02,Male,Indigenous,365.29,East,0.75,2,11.81,1
302,Paulo Santos,2003-04-27,Male,Black,842.5,North,5.06,1,2.5,1
303,Camila Ribeiro,2009-10-03,Male,White,3502.54,Center,3.02,2,9.91,1
304,João Pereira,2001-03-08,Male,Brown,5579.6,East,7.41,2,5.8,0
305,Pedro Lima,2005-07-25,Female,Brown,1774.58,South,8.39,2,11.9,0
306,Lucas Souza,2004-03-05,Female,Brown,915.62,East,5.77,1,12.38,1
307,Clara Silva,2005-07-21,Male,White,1612.52,East,4.72,1,12.31,1
308,Ana Santos,2002-09-12,Male,Brown,5341.93,East,4.45,1,4.09,0
309,Paulo Ferreira,2002-04-23,Female,White,4521.76,North,6.94,1,13.33,0
310,José Pereira,2008-03-21,Male,Brown,4223.99,Center,5.35,2,0.87,0
311,João Lima,2002-05-26,Female,White,3272.03,Center,1.06,1,12.3,0
312,Paulo Ferreira,2001-07-13,Male,Brown,848.08,South,7.51,1,9.64,1
313,Clara Souza,2000-02-23,Male,Brown,2238.02,South,8.57,2,1.8,1
314,Camila Martins,2001-04-15,Male,Brown,132.31,North,3.68,1,8.31,1
315,Maria Ribeiro,2007-11-27,Female,White,2977.63,West,8.19,2,8.29,0
316,Carla Oliveira,2003-07-01,Male,White,4357.5,South,7.21,1,0.26,0
317,Pedro Lima,2007-12-20,Male,White,1907.74,Center,0.04,2,12.86,1
318,Paulo Oliveira,2006-07-22,Female,Brown,3242.04,West,8.02,3,1.23,1
319,João Lima,2005-12-06,Female,Black,2625.63,West,5.83,1,11.8,0
320,Ana Santos,2000-04-28,Female,Brown,3659.96,East,1.82,2,0.97,0
321,Maria Martins,2005-02-25,Female,Brown,3463.24,South,3.12,2,9.04,1
322,Camila Santos,2004-03-04,Male,White,5902.87,North,2.77,1,9.11,1
323,Maria Ribeiro,2004-01-01,Male,Brown,4330.98,North,8.4,3,1.17,0
324,Carla Martins,2005-11-02,Male,White,1618.42,East,3.97,3,12.95,1
325,Clara Martins,2000-07-23,Female,White,2.92,South,1.75,2,3.41,1
326,Lucas Pereira,2001-09-13,Female,Brown,4695.28,South,8.79,2,14.24,1
327,Maria Souza,2008-03-13,Male,White,2055.04,East,7.82,2,3.13,0
328,Paulo Martins,2001-04-23,Male,White,144.93,Center,3.59,1,1.05,1
329,Lucas Ribeiro,2006-01-22,Male,Brown,3661.54,West,9.76,1,5.28,1
330,Lucas Ribeiro,2007-09-19,Female,White,7122.91,North,4.88,1,11.8,1
331,Maria Pereira,2004-02-16,Female,White,1790.33,North,2.41,1,3.95,1
332,Camila Lima,2007-03-14,Female,White,851.53,East,4.71,1,3.21,1
333,Pedro Souza,2003-03-08,Female,White,3576.53,South,2.9,2,13.61,1
